epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.6818,1.15316,3.66466,1.56575,0.35554,0.33546,0.36091,0.28698,0.94782,11.1476,1.68414,0.00013073,0.00013073,0.00013073
2,53.802,0.90656,2.17761,1.38316,0.55672,0.50367,0.53533,0.39952,1.00626,3.15308,1.84883,0.000264709,0.000264709,0.000264709
3,66.0599,0.96288,1.6896,1.36581,0.37162,0.65429,0.53944,0.37794,1.36668,2.28166,2.2925,0.00039412,0.00039412,0.00039412
4,78.5993,0.89821,1.48439,1.31558,0.48198,0.61156,0.51542,0.31631,1.38832,2.28844,2.57312,0.000518963,0.000518963,0.000518963
5,90.4171,0.9449,1.41233,1.34446,0.46182,0.74232,0.63228,0.39481,1.24472,2.96687,2.10928,0.000639239,0.000639239,0.000639239
6,102.126,0.99174,1.45755,1.39329,0.2995,0.59701,0.43003,0.26745,1.53213,5.31674,2.52796,0.000705558,0.000705558,0.000705558
7,115.435,0.96049,1.39048,1.38014,0.76731,0.55876,0.6327,0.36019,1.44642,2.21373,2.14883,0.000692869,0.000692869,0.000692869
8,128.233,0.92953,1.21517,1.34855,0.79461,0.49629,0.5951,0.35221,1.38271,2.83048,2.24884,0.000680181,0.000680181,0.000680181
9,141.491,0.99127,1.14789,1.36125,0.56418,0.64154,0.57362,0.32294,1.45515,1.85652,2.45964,0.000667492,0.000667492,0.000667492
10,154.789,0.97471,1.1962,1.38573,0.46315,0.438,0.43391,0.21581,1.90022,2.49169,2.51605,0.000654804,0.000654804,0.000654804
11,166.772,0.93974,1.22878,1.36163,0.56679,0.52587,0.55175,0.31912,1.61187,1.82225,2.40568,0.000642115,0.000642115,0.000642115
12,179.874,0.92445,1.09234,1.35074,0.65837,0.53614,0.5868,0.39562,1.3746,2.1176,2.21416,0.000629427,0.000629427,0.000629427
13,193.322,0.90953,1.1421,1.34229,0.47709,0.58022,0.52044,0.30383,1.4524,2.80182,2.26432,0.000616738,0.000616738,0.000616738
14,206.442,0.85789,1.06524,1.284,0.59829,0.58352,0.61789,0.37046,1.28229,2.24326,1.90441,0.00060405,0.00060405,0.00060405
15,218.026,0.87732,1.02286,1.29408,0.69821,0.67547,0.73352,0.53052,1.21708,1.38892,1.93754,0.000591361,0.000591361,0.000591361
16,230.73,0.86456,1.01385,1.30855,0.68558,0.72159,0.75951,0.53711,1.1216,1.25754,1.86084,0.000578672,0.000578672,0.000578672
17,243.226,0.91459,1.01255,1.31323,0.72664,0.71411,0.72577,0.54307,1.05278,1.09093,1.70233,0.000565984,0.000565984,0.000565984
18,256.322,0.91615,1.02745,1.34891,0.69394,0.64655,0.70271,0.50202,1.04617,1.22705,1.80879,0.000553296,0.000553296,0.000553296
19,269.69,0.86422,0.87185,1.26133,0.78167,0.60942,0.72906,0.52262,1.06985,1.31261,1.82833,0.000540607,0.000540607,0.000540607
20,281.799,0.83245,0.86471,1.24953,0.68422,0.7612,0.72804,0.55531,1.07095,1.93061,1.86385,0.000527919,0.000527919,0.000527919
21,294.833,0.81144,0.80184,1.21909,0.70564,0.74545,0.76695,0.56277,1.04116,1.05966,1.77903,0.00051523,0.00051523,0.00051523
22,307.797,0.75036,0.79292,1.21421,0.69217,0.80213,0.76083,0.58229,1.07967,1.0905,1.82868,0.000502541,0.000502541,0.000502541
23,321.89,0.7769,0.83087,1.23908,0.72693,0.76998,0.74028,0.50879,1.16222,1.18214,1.92031,0.000489853,0.000489853,0.000489853
24,333.161,0.78706,0.83464,1.22039,0.67117,0.67335,0.68175,0.4936,1.0265,2.00078,1.72548,0.000477165,0.000477165,0.000477165
25,346.459,0.78382,0.76554,1.20694,0.69436,0.76782,0.76784,0.54151,1.09518,1.18702,1.81625,0.000464476,0.000464476,0.000464476
26,360.253,0.80863,0.73646,1.21423,0.72126,0.71687,0.71231,0.52266,1.08365,1.27291,1.79608,0.000451787,0.000451787,0.000451787
27,371.667,0.7762,0.76168,1.21295,0.68747,0.71218,0.73059,0.56187,0.97076,1.05525,1.6462,0.000439099,0.000439099,0.000439099
28,383.958,0.73232,0.82242,1.23037,0.86107,0.74565,0.8106,0.62689,1.01357,0.94323,1.69962,0.000426411,0.000426411,0.000426411
29,396.962,0.7166,0.7127,1.17782,0.7761,0.70723,0.78517,0.61393,1.00104,1.04653,1.74288,0.000413722,0.000413722,0.000413722
30,409.447,0.68637,0.68827,1.18762,0.7779,0.81188,0.82174,0.6505,0.94241,1.02276,1.62413,0.000401033,0.000401033,0.000401033
31,422.388,0.75783,0.69786,1.18276,0.85782,0.73263,0.79486,0.61392,0.97901,1.0814,1.60221,0.000388345,0.000388345,0.000388345
